id,sprite,name,TH-name,HP,Type,enemy action,Biome
B4-N01,,Deckhand Cutlass,ลูกเรือฝึกงานดาบ คัตลาส,47,Normal,4,4
B4-N02,,Barrel Bomber,มือระเบิดถัง บอมเบอร์,47,Normal,4,4
B4-N03,,"Sling Scout, Kini",หน่วยหนังสติ๊กดีดเปรี้ยง คินิ,47,Normal,4,4
B4-N04,,"Colle, The Treasure Hunter ",นักล่าสมบัติ โคเล่,47,Normal,4,4
B4-N05,,"Flint, The Treasure Hunter ",นักล่าสมบัติ ฟินต์,47,Normal,4,4
B4-N06,,Puffboom Fish,ปักเป้าบวมน้ำ,47,Normal,4,4
B4-N07,,Bluegem Angelfish,ปลาประกายเทวดา,47,Normal,4,4
B4-N08,,Frostfang Minnow,ปลาเขี้ยวน้ำแข็งกัด,47,Normal,4,4
B4-N09,,Sparkfin Eel,ปลาไหลครีบสปาร์คช็อต,47,Normal,4,4
B4-N10,,Voltcoil Eel,ปลาไหลขดลวดไฟฟ้าแรงสูง,47,Normal,4,4
B4-N11,,RippleRay Pup,ลูกกระเบนคลื่นน้ำ,47,Normal,4,4
B4-N12,,Bubblecap Jelly,แมงกะพรุนฟองน้ำ,47,Normal,4,4
B4-E04,,Coralblade Marlin,ปลากระโทงดาบปะการัง,65,Elite,3,4
B4-E04,,Tempest Manta,กระเบนราหูพายุคลั่ง,65,Elite,3,4
B4-E04,,"Captain Tide-hook, Araphaska",กัปตันง้าวตะขอ อาราปลาสก้า,65,Elite,3,4
B4-E04,,Breakwater Orca,วาฬเพชฌฆาต,65,Elite,3,4
B4-E05,,Riptide Mako,ฉลามทะเลวน มาโก้,65,Elite,3,4
B4-B01,,Dreadwake Megalodon,ฉลามมัจจุราช เมกาโลดอน,250,Boss,2,4
B5-N01,,Bone Mask,ลูกเรือหน้ากากกะโหลก,52,Normal,4,5
B5-N02,,Ghost Corsair,กะลาสีเรือผีสิง,52,Normal,4,5
B5-N03,,Abyss Shark,ฉลามเเห่งหุบเหวอเวจี,52,Normal,4,5
B5-N04,,Angler,ปลาแองเกลอร์,52,Normal,4,5
B5-N05,,Abyss Jelly,แมงกะพรุนเเห่งหุบเหวอเวจี,52,Normal,4,5
B5-N06,,Viperfish,เขี้ยวปีศาจไวเปอร์,52,Normal,4,5
B5-N07,,Gloom Jelly,แมงกะพรุนทมิฬทรราช,52,Normal,4,5
B5-N08,,Nautilus,อสูรหอยงวงช้างดึกดำบรรพ์,52,Normal,4,5
B5-N09,,IronCrab,ปูเกราะเหล็กอเวจี,52,Normal,4,5
B5-N10,,ChestMaw,หีบสมบัติกินคน,52,Normal,4,5
B5-N11,,Mirelle,พรายพยาบาท มิเรลล์ ,100,Normal,4,5
B5-N12,,Coraline,พรายคนตาย คอราลีน,100,Normal,4,5
B5-E01,,Void Whale,มหาวาฬทมิฬสุญญากาศ,100,Elite,3,5
B5-E02,,Dread Angler,เดอะแองเกลอร์,100,Elite,3,5
B5-E03,,Sea Serpent,อสรพิษมหาสมุทร ซีเซอร์เพน,100,Elite,3,5
B5-E04,,Kraken,พญาอสุรกายคราเคนใต้บาดาล,100,Elite,3,5
B5-E05,,Raven,นกเรเวนทมิฬมัจจุราช,100,Elite,3,5
B5-E06,,Varrick,วาร์ริค กัปตันวิญญาณแค้น,100,Elite,3,5
B5-E07,,Nessea,เนสซี,100,Elite,3,5
B5-B01,,Leviathan,มหาเทพอสูรลีเวียธานกลืนพิภพ,500,Boss,2,5
B6-N01,,Jade blade,เพลงกระบี่หยกปลิดชีพ,150,Normal,4,6
B6-N02,,Red blade,กระบี่ชาดสะบั้นวิญญาณ,150,Normal,4,6
B6-N03,,Sky spear,ทวนเวหาทะลวงเกราะ,150,Normal,4,6
B6-N04,,YuiWei,อวี่เหวย จอมยุทธ์จิ้งจอกพเนจร,150,Normal,4,6
B6-N05,,Dragon Yaksha,ยักษาเกล็ดมังกรคลั่งศึก,150,Normal,4,6
B6-N06,,Flame Lion,ราชสีห์เพลิงกรงเล็บสังหาร,150,Normal,4,6
B6-N07,,Geo Tiger,พยัคฆ์ศิลากรงเล็บฉีกวิญญาณ,150,Normal,4,6
B6-N08,,Soul Lantern,โคมเพลิงปราณสังหาร,150,Normal,4,6
B6-N09,,Geo Deer,กวางศึกศิลาประจัญบาน,150,Normal,4,6
B6-N10,,Ninetail,จิ้งจอกเก้าหางกรงเล็บพิฆาต,150,Normal,4,6
B6-E01,,Phoenix Sage,ปรมาจารย์วิหคเพลิงสะท้านภพ,350,Elite,3,6
B6-E02,,Golden Dragon,พญามังกรทองศึกเก้าชั้นฟ้า,350,Elite,3,6
B6-E03,,Winged Qilin,กิเลนศึกเวหาเหยียบเมฆา,350,Elite,3,6
B6-E04,,Qilin Maiden,จอมยุทธ์หญิงกิเลนหยกขาว,350,Elite,3,6
B6-E05,,Crane Sage,ปรมาจารย์หมัดกระเรียนขาวสยบหล้า,350,Elite,3,6
B6-B01,,Fox Empress,จักรพรรดินีจิ้งจอกเก้าหางสยบยุทธภพ,1500,Boss,2,6
B7-N01,,Closed Angelic,,500,Normal,4,7
B7-N02,,Unicorn,,500,Normal,4,7
B7-N03,,Lumie,,500,Normal,4,7
B7-N04,,Veil priest,,500,Normal,4,7
B7-N05,,Six Gaze,,500,Normal,4,7
B7-N06,,Halo wisp,,500,Normal,4,7
B7-N07,,Wing tome,,500,Normal,4,7
B7-N08,,Ring eye,,500,Normal,4,7
B7-N09,,Gold Gaze,,500,Normal,4,7
B7-N10,,Void bloom,,500,Normal,4,7
B7-N11,,Nightmane,,500,Normal,4,7
B7-E01,,Rapier Seraph,,1250,Elite,3,7
B7-E02,,Halodoll,,1250,Elite,3,7
B7-E03,,Rift Saint,,1250,Elite,3,7
B7-E04,,Black Nova,,1250,Elite,3,7
B7-E05,,Veil Seraph,,1250,Elite,3,7
B7-B01,,Astral Judgement,,5000,Boss,2,7
